id,start_date,end_date,low,medium,high
970946,1384-01-21,1384-02-19,0,3767,753
500609,1384-01-15,1384-02-11,0,48240,10800
500563,1384-02-31,1384-03-31,0,51333,10267
500609,1384-04-13,1384-06-13,0,112200,24800
970946,1384-05-19,1384-06-21,0,7983,1597
500563,1384-02-31,1384-07-01,0,71467,14293
970946,1384-06-21,1384-07-19,0,6033,1207
500609,1384-06-13,1384-07-11,0,52968,10672
500563,1384-07-01,1384-08-02,0,16600,3320
500563,1384-08-30,1384-09-30,0,15160,5160
500609,1384-09-10,1384-10-09,0,52904,11136
970946,1384-09-19,1384-10-17,0,6383,1277
970946,1384-10-17,1384-11-13,0,5950,1190
500563,1383-11-27,1384-01-03,0,23433,4687
970946,1383-11-17,1384-01-21,0,7600,1520
500609,1383-12-07,1384-01-15,0,55920,15200
500609,1384-07-11,1384-08-12,0,53952,11408
970946,1384-07-19,1384-08-18,0,5467,1093
500563,1384-08-02,1384-08-30,0,14344,4816
970946,1384-08-18,1384-09-19,0,7117,1423
500609,1384-08-12,1384-09-10,0,47896,10304
500563,1384-01-03,1384-01-31,0,18133,3627
500563,1384-01-31,1384-02-31,0,19200,3840
500609,1384-02-11,1384-03-09,0,50080,11600
970946,1384-02-19,1384-03-18,0,3900,780
970946,1384-03-18,1384-04-20,0,6967,1393
500609,1384-03-09,1384-04-13,0,63160,12880
970946,1384-04-20,1384-05-19,0,6983,1397
500563,1384-09-30,1384-11-02,0,12976,5504
500563,1384-11-02,1384-11-22,0,0,280
500609,1384-10-09,1384-12-02,0,0,8840
970946,1384-11-13,1384-12-12,0,7633,1527
500563,1384-11-22,1384-12-27,0,20240,8120
970946,1384-12-12,1385-01-21,0,9967,1993
500563,1384-12-27,1385-01-30,0,17176,5504
500563,1385-03-30,1385-04-31,0,15736,4864
500563,1385-04-31,1385-06-04,0,16720,5320
500609,1385-06-07,1385-07-11,0,67167,13433
970946,1385-06-15,1385-07-19,0,10583,2117
500563,1385-07-05,1385-08-08,0,1004,5676
970946,1385-09-13,1385-10-11,0,6300,1260
500609,1385-09-11,1385-10-12,0,40233,8047
970946,1385-10-11,1385-11-14,0,6850,1370
500609,1385-10-12,1385-11-14,0,0,0
500609,1385-01-16,1385-02-08,0,46000,7360
970946,1385-01-21,1385-02-16,0,7783,1557
500563,1385-01-30,1385-02-30,0,16208,4712
970946,1385-02-16,1385-03-17,0,10617,2123
500609,1385-02-08,1385-03-09,0,59480,12800
970946,1385-03-17,1385-04-17,0,10883,2177
500609,1385-03-09,1385-04-07,0,54440,11600
970946,1385-04-17,1385-05-18,0,14683,2937
500609,1385-04-07,1385-05-11,0,65880,14000
500609,1385-05-11,1385-06-07,0,51633,10327
970946,1385-05-18,1385-06-15,0,12000,2400
970946,1385-07-19,1385-08-13,0,5133,1027
500609,1385-07-11,1385-08-13,0,59500,11900
500563,1385-08-08,1385-09-04,0,0,1280
970946,1385-08-13,1385-09-13,0,5633,1127
500609,1385-08-13,1385-09-11,0,51967,10393
500563,1385-09-04,1385-10-02,0,10100,2020
500563,1385-11-02,1385-11-29,0,6467,1293
500609,1384-12-02,1385-01-16,0,65560,17200
500563,1385-02-30,1385-03-30,0,16100,4340
500563,1385-06-04,1385-07-05,0,15880,5120
